,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
54,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,15,2020-09-21 23:45,재난지원금 문자로보낸다해서 이제나 저제나 기다리고있는데 어떻게 분간하란말이냐.당할사람 많을것같은데 무슨대책을 세워줘야지.,10,0
55,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,16,2020-09-21 23:45,경찰이나 윗분들이 보이스피싱단한테 돈받은거 같아. 이렇게 적극적으로 오랫동안 안잡을수가 있나,10,0
56,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,17,2020-09-21 23:45,통신사들은 요금제로 때먹는 돈이 얼만데 이 정도는 처리 해줘야 되는거 아니냐,10,0
57,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,18,2020-09-21 23:45,저렇게 해먹어도 몇년 안사니까 너도나도 사기만칠려고 하지 .. 5000년 시기의 민족성 그대로 나오는구만,9,0
58,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,19,2020-09-21 23:45,20년 때려봐라 보이싱 하나 법이 웃기니까 계속하는거 아니야 성폭행이나 음주운전도,9,0
59,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,20,2020-09-21 23:45,이 시기에 저런 예민한걸로 사기치는 사람들 천벌받을 각오나 해라..,8,0
60,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",1,2020-09-21 23:45,"시뮬레이션도 없고, 부작용 검토도 없고, 전문가 자문도 없고 그냥 똥사듯이 쳐 저지르는 문독재 공산당 정권 때문에 집있는자 없는자 모두 고통이다.한번도 겪어보지 못한 문독재 헬조선이다.",2881,23
61,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",2,2020-09-21 23:45,임차인은 내편 임대인은 적폐~ 집을 소유하면 보수화 한다며 청와대 김수현이 말했고 이게 현정부의 빅피쳐이다. 3040 니들은 이니님 지시대로 영원히 월세 살아야 한다.,1392,25
62,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",3,2020-09-21 23:45,집 값 잡으려다 사람잡을듯이게 머냐 세입자에 위로금에 이사비용까지긍께 사전에 전문가들 불러 사전 시물레이션한 후하라고해도 177석 믿구 마이웨이이거 어쩔거냐 그래도 국토부장관은 셀프 자화자찬,919,9
63,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",4,2020-09-21 23:45,사유재산 침해에 이어 거주이전 자유 마저 빼앗아 가누나...사회주의에서 공산주의로 더욱더 옭아메니 지들 입맛대로 가지고 노는거 같네...,689,8
64,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",5,2020-09-21 23:45,박주민은 진짜 무슨 생각으로 저런 부작용 덩어리 임대차법 만든 거냐 ㄷ ㄷ ㄷ,645,7
65,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",6,2020-09-21 23:45,정치인들처럼 비리로 산것도 아니고 세금 받아서 산것도 아니고 내가 벌어서 내집 사고 소유한다는 이유만으로 온갖 세금 다 내는데 이제는 적폐로까지 몰려야 하나,195,0
66,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",7,2020-09-21 23:45,맹자가 칼로 사람을 죽이는것과 정치로 사람을 죽이는것은 차이가 없다고 했다. ....현정권은 살인마 정권이다.,122,3
67,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",8,2020-09-21 23:45,"이정부는 모든 국민이 임대주택에 사는 것을 원합니다. 국민들이 집을 사는 것을 원치 않아요. 이미 그러한 것을 숨기지 않고 여러차례 대 놓고 말했지만 국민들이 깨닫지 못하고 보고싶은 것만 볼 뿐이죠. 탈원전, 공기업비정규직, 검찰, 의사, 임대사업자, 이제 임대인 차례일 뿐입니다. 180석을 준 순간 개헌빼고 다 할 수 있게 되었는데 누구를 원망하겠습니까?",118,2
68,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",9,2020-09-21 23:45,모두가 피해자 입니다. 정부가 이렇게 만들었지요. 집값도 적당히 오르고 전세도 자유롭게 이동할 수 있도록 해야 되는데. 서로간 극심한 스트레스 입니다. 무능한 정권은 나몰라라 하고 관망중이지요. 참 대책 없는 정부 입니다. 그냥 수수방관이지요. 지식인. 정치인. 사회단체. 종교인 누구하나 나서는 사람이 없지요. 모두가 죽은 사회 입니다. 국가 존재의 이유를 모르겠네,111,1
69,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",10,2020-09-21 23:45,문정부는 참 탁월한 재주를 가졌어요. 세입자와 집주인을 아주 원수 사이로 만들어 놓았군요. 온 국민을 갈래갈래 찢어놓는 이런 능력자들ᆢ 정말 경험 해보지 못한 나라를 만들었네요ᆢ,107,0
70,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",11,2020-09-21 23:45,세입자한테 무슨 권리가 있다는거냐이럴거면 세입자가 세금도 내라,90,2
71,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",12,2020-09-21 23:45,이런식이면 재산세는 세입자가 내야지..,74,0
72,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",13,2020-09-21 23:45,도무지 학창시절에 공부라고는 해봤어야 말이지. 그저 데모나 하고 사회 부적응자로 분노에 찬 인간들이 어쩌다 정권 잡아 개판치는 중. 홧병 생기겠음,73,0
73,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",14,2020-09-21 23:45,이게 제정신인 국회모습인가?? 기본상식도 없다.집 살때 본인이 입주할것을 믿고 계약을 했는데 세입자가 반대하면 입주를 못하는법이 세상에 어딧냐?? 입주못할걸 알았으면 그 가격에 집 사는 놈이 어딨냐?? 계약이 민법이 근간인데 신뢰이익을 훼손하는 법규는 세상에 어딧냐구.초딩도 이보다 서민들 재산피해 수천씩 주진않것다..양도세 수천씩 어거지로 물게되는건 또 어떻코?? 어휴 한심하다못해 천벌 받을 죄 짓는 입법한 책임자들은 전국민한테 즉시 손해배상해야 마땅하다 수천억이라도.,69,1
74,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",15,2020-09-21 23:45,정책이 잘못됐으면 개선하면 될 일을.. 죽어도 인정 못하고 오기 부리다 이 지경 까지 된거지.. 에휴..,58,3
75,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",16,2020-09-21 23:45,무주택자가 ... 세입자가.... 집주인한테 갑질을?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 날도둑놈이 따로없네. 지네가 적당한 전세매물 못찾는것 까지 집주인이 신경써야되냐? ㅋㅋㅋㅋ 어이가 없다...진짜 문재인정권의 무능함을 새삼 다시 느낀다..,50,0
76,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",17,2020-09-21 23:45,부평역 근처 30년된 22평 정말 서민 아파트도 두달만에 전세 1억가까이 올랐네요. 한달 실수령 250벌어 100월세 살아란거니 문재인ㅡ김현미야..아님 집을 대출받아 사라는거니 문재인아? 문재인아 너가 말하는 서민은 누구냐? 서민들 전세가 대부분인데...쌍욕나온다 문재인아! 당장 경기ㅡ인천 직접 가봐..너희들이 만든 법 땜에 전세비 얼마나 올랐나. 또 오른 전세집도 그나마 없어 ..문잰아! 옆단지 1050가군데 전세 물건 0이라고. 어케 이사가란거니 문재인아! 정말 내년이 두렵다. 죽고 죽이고싶다. 문재인 너에게 국민은 뭐냐?,48,1
77,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",18,2020-09-21 23:45,"문제가 있음이 확인되었다면, 지금이라도 주택임대차보호법 폐지하는것이 옳다.",46,0
78,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",19,2020-09-21 23:45,남의 재산 등쳐먹던 양아치들이 정권을 잡으니 세상 꼬라지가 참 갈수록 가관이구나,36,1
79,"집주인 ""입주 못하고 세금폭탄""…세입자 ""나가려해도 전세 …",20,2020-09-21 23:45,경제에 경자도 모르는 꼴통좌빨것들 완전뻘짓들해논거지.....ㅉ,35,1
80,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",1,2020-09-21 23:45,"부동산, 주식방송이 광고라는거 모르는 사람들이 있다는게 안타깝다.저런 정보로 주식에 투자하고, 집, 땅을 살 생각 하지마라좋은 정보는 자기가 독식하지 왜 굳이 공유하겠어",209,4
81,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",2,2020-09-21 23:45,유투버말듣고 사는 골빈애가 있긴있나보네 ㅋㅋ,78,2
82,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",3,2020-09-21 23:45,유튜브는 절반은 사기꾼들의 놀이터라 보면됨,44,1
83,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",4,2020-09-21 23:45,유ㅌ 버가 투기꾼이가 계속오를것처럼 부추기고 있는데 단속좀 해주세요~,31,0
84,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",5,2020-09-21 23:45,차윤원의 부동산이군요,21,0
85,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",6,2020-09-21 23:45,"부동산은 지금 폭락 시작했어요, 절대 사면 않됩니다.",28,18
86,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",7,2020-09-21 23:45,"로또 1등 번호 자기만 알지, 남 알려주냐?? ㅋㅋㅋㅋㅋ 돈버는 건물이면 지가 사지, 남한테 왜 사라고 하겠냐 ㅋㅋㅋㅋ 세상에 공짜 없다.",6,0
87,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",8,2020-09-21 23:45,"여러분들~~~~!!! 딱 한가지만 명심하고 사세요. 당신이 가진 돈을 어떻게 쓰라던지 투자를 하라던지 하는 모든 말들은 절대로 믿으시면 안됩니다. 그렇게말하는 자들이 자기들한테 이익이 되기때문에 그렇게 자꾸 권하는것이고, 그들이 이익을 봤다면 분명 누군가는 손해를 보는것이 이치겠지요? 그 손해를 누가볼까요ㅎ 맞습니다, 결국우 바로 당신이 손해를 보는 구조입니다.",6,0
88,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",9,2020-09-21 23:45,좋은 부동산정보 채널 하나 날라가는구나,4,0
89,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",10,2020-09-21 23:45,"그런 집단이 부지기수다. 집값 올리는 데 부동산투자 설명회가 부축이는데, 이들이 대개 건설사, 은행과 커넥션을 이룬다. 거기에 국토부도 가세하는 면이 많았다. 개발정보 빼돌려서 집값, 땅값 부풀리기 고질적인 것 아닌가요?그렇게 잘하면 놀고먹잖아. 근절될 턱이 없지.",3,0
90,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",11,2020-09-21 23:45,사기꾼들이 판치는 유틉을 보고 믿는 사람들 보면 이해가 안갔는데.. 매일 몇시간씩 보는 친구를 보니 이해는 간다.. 유틉도 관련된 영상 나오게 해 놓으니. 대충 썰좀 풀고 아는척 하면 믿는사람들 있을듯 .. 찌라시 정보도 안되는거에.. ㅡㅡ,3,0
91,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",12,2020-09-21 23:45,말투들으니 누군지 알것다..,3,0
92,"""○○동 빌라 사라""…본인 건물 콕 찍어 투자 권한 유튜버",13,2020-09-21 23:45,부동산스터디라고 네이버카페 도 엄청나지,2,0
